State,< 5,5 -- 9,10 -- 15,16 -- 20,21 -- 24,25 -- 34,35 -- 44,45 -- 54,55 -- 64,65 -- 74,> 75,Unknown,Total
Alabama,9,7,11,77,71,176,157,140,133,78,71,0,930
Alaska,0,0,2,10,4,14,10,10,7,9,1,0,67
Arizona,8,8,22,76,75,153,145,130,153,106,102,3,981
Arkansas,8,3,8,50,35,78,72,73,73,66,39,0,505
California,23,25,51,242,303,770,497,505,543,359,282,6,3606
Colorado,5,4,9,51,53,113,88,73,86,67,47,0,596
Connecticut,0,0,0,27,17,43,34,32,32,26,38,0,249
Delaware,1,2,1,10,13,20,17,14,23,13,18,0,132
District of Columbia,0,0,1,2,1,6,6,3,2,2,0,0,23
Florida,24,22,49,210,266,544,442,443,498,307,366,12,3183
Georgia,15,12,28,106,121,281,216,214,212,160,126,0,1491
Hawaii,0,0,1,8,14,23,18,16,9,12,7,0,108
Idaho,3,6,1,17,16,32,34,30,29,24,32,0,224
Illinois,6,8,14,57,79,192,149,147,143,100,111,3,1009
Indiana,9,10,10,67,73,131,118,101,116,88,85,1,809
Iowa,1,3,5,26,31,55,41,41,70,28,35,0,336
Kansas,3,7,9,36,35,56,54,53,63,53,42,0,411
Kentucky,4,5,15,42,52,105,124,110,108,78,89,0,732
Louisiana,10,4,9,53,43,123,145,115,89,58,78,0,727
Maine,1,3,1,8,7,33,20,18,25,25,16,0,157
Maryland,6,9,10,30,60,97,65,76,67,52,47,2,521
Massachusetts,0,2,5,18,40,56,29,43,54,50,37,0,334
Michigan,15,12,23,72,65,172,130,133,156,80,127,0,985
Minnesota,2,1,8,26,26,53,53,55,56,35,49,0,364
Mississippi,5,5,12,45,61,113,109,83,81,67,58,4,643
Missouri,12,11,16,72,74,157,119,130,131,83,75,0,880
Montana,0,3,5,24,14,25,26,20,17,26,24,0,184
Nebraska,2,6,11,27,20,50,24,34,33,23,18,0,248
Nevada,1,0,5,15,24,53,30,45,52,39,39,1,304
New Hampshire,0,0,1,5,11,9,14,10,23,13,15,0,101
New Jersey,7,1,10,42,38,107,70,62,90,64,68,0,559
New Mexico,4,7,4,28,38,85,74,62,62,33,24,3,424
New York,8,7,16,57,75,180,89,115,138,119,123,4,931
North Carolina,12,13,17,99,107,266,190,195,202,145,124,3,1373
North Dakota,1,1,3,5,3,18,22,11,17,7,12,0,100
Ohio,9,10,24,84,88,200,168,172,166,118,114,0,1153
Oklahoma,5,7,11,46,42,109,86,93,108,69,64,0,640
Oregon,5,1,5,45,31,84,60,66,74,58,60,0,489
Pennsylvania,4,5,9,75,95,188,128,136,158,101,160,0,1059
Rhode Island,0,0,0,1,5,14,8,12,7,2,8,0,57
South Carolina,12,8,15,68,74,171,168,172,146,89,77,1,1001
South Dakota,0,2,7,11,9,19,15,9,14,9,7,0,102
Tennessee,12,13,15,103,81,198,138,172,182,121,99,1,1135
Texas,45,48,75,299,355,729,545,443,502,300,258,16,3615
Utah,5,2,6,23,21,41,40,27,29,26,25,3,248
Vermont,1,1,1,4,2,9,5,6,5,7,6,0,47
Virginia,2,5,6,65,58,139,111,104,139,96,105,1,831
Washington,2,4,7,28,53,93,75,61,83,56,56,1,519
West Virginia,2,1,5,18,15,46,42,37,38,24,32,0,260
Wisconsin,7,4,5,46,49,91,72,83,82,76,51,0,566
Wyoming,0,4,2,11,13,28,25,23,21,11,9,0,147
USA,316,322,586,2667,2956,6548,5117,4958,5347,3658,3556,65,36096
