State,2019_FR_per_100M
Alabama,1.3
Alaska,1.14
Arizona,1.4
Arkansas,1.36
California,1.06
Colorado,1.09
Connecticut,0.79
Delaware,1.29
District of Columbia,0.61
Florida,1.41
Georgia,1.12
Hawaii,0.98
Idaho,1.24
Illinois,0.94
Indiana,0.98
Iowa,1
Kansas,1.29
Kentucky,1.48
Louisiana,1.42
Maine,1.06
Maryland,0.87
Massachusetts,0.51
Michigan,0.96
Minnesota,0.6
Mississippi,1.56
Missouri,1.11
Montana,1.43
Nebraska,1.17
Nevada,1.06
New Hampshire,0.73
New Jersey,0.71
New Mexico,1.53
New York,0.75
North Carolina,1.12
North Dakota,1.02
Ohio,1.01
Oklahoma,1.43
Oregon,1.37
Pennsylvania,1.03
Rhode Island,0.75
South Carolina,1.73
South Dakota,1.03
Tennessee,1.37
Texas,1.25
Utah,0.75
Vermont,0.64
Virginia,0.97
Washington,0.83
West Virginia,1.36
Wisconsin,0.85
Wyoming,1.44
USA,1.11
